"id","ways_index"
26262607,"[37334387L, 61491892L]"
26262610,"[61491892L]"
26288102,"[26289035L, 127464466L, 127464499L, 127464440L, 91003897L, 91003900L, 127464446L, 91003891L]"
26288103,"[33680885L, 9701429L, 26288598L]"
26288105,"[26289101L, 26288161L, 26288598L, 26289503L]"
26288161,"[26288105L, 26288890L, 26289101L, 26288545L]"
26288336,"[26289099L, 104637470L, 26289502L, 26289503L]"
26288493,"[30546952L, 30557201L, 27032716L]"
26288494,"[33681488L, 33680851L, 26289099L]"
26288545,"[33681488L, 26288161L, 26288577L]"
26288577,"[33681488L, 26288545L, 26288616L, 26289504L]"
26288596,"[104637470L, 26289503L]"
26288598,"[26288105L, 26288103L, 33680885L, 26289503L]"
26288616,"[26288577L, 26288891L]"
26288647,"[30212568L, 30212681L, 26289499L, 30558596L]"
26288705,"[33681488L, 26288890L]"
26288890,"[27032704L, 26288161L, 27032711L, 26288705L]"
26288891,"[26288616L, 27032723L, 104637470L]"
26288988,"[26288993L, 30212557L, 104637519L, 104637495L, 104637471L]"
26288989,"[26288990L, 104637478L]"
26288990,"[127464483L, 26289035L, 127464466L, 104246077L, 42454680L, 47616882L, 127464435L, 127464503L, 127464501L, 91003897L, 127464440L, 104246073L, 104246075L, 26288989L]"
26288991,"[26289418L, 26289502L]"
26288992,"[60495846L, 30212557L, 60495789L, 26289341L, 60495807L]"
26288993,"[26288988L, 26289342L, 104637471L]"
26289035,"[26288102L, 26289037L, 47616882L, 47616143L, 42370353L, 60495762L, 91003900L, 60495741L, 26288990L]"
26289036,"[42369616L, 42454394L, 26289037L, 26295566L]"
26289037,"[26289035L, 26289036L]"
26289099,"[26288336L, 33680851L, 26288494L, 104637470L]"
26289101,"[26288105L, 26289102L, 26288161L]"
26289102,"[9701429L, 26289101L]"
26289340,"[26289504L, 26289342L]"
26289341,"[26288992L, 60495771L, 26289342L, 60495789L]"
26289342,"[26288993L, 60495771L, 26289340L, 26289341L, 104637471L]"
26289417,"[60495810L, 30212551L, 26289419L, 60495789L, 47616307L]"
26289418,"[104637506L, 104637478L, 26289419L, 60495736L, 26288991L]"
26289419,"[60495810L, 26289417L, 26289418L, 60495789L, 60495736L]"
26289499,"[26289502L, 26288647L]"
26289500,"[30212682L, 29237655L, 26289501L, 30212677L]"
26289501,"[26289504L, 26289500L]"
26289502,"[26288336L, 26289503L, 26289499L, 26288991L]"
26289503,"[26288105L, 26288336L, 26288596L, 26288598L, 26289502L]"
26289504,"[26288577L, 26289340L, 26289501L]"
26295101,"[33680851L, 26295103L]"
26295102,"[26295104L, 91003891L, 9701429L]"
26295103,"[104246072L, 33614483L, 104246068L, 26295101L]"
26295104,"[33614480L, 26295102L]"
26295190,"[26295307L, 26295345L, 26295235L, 26295347L]"
26295231,"[26295232L, 26295233L, 26295235L, 59210789L, 29293541L, 59210918L, 59210922L, 127464430L, 91003888L, 91003889L, 26354386L, 59210842L, 127464432L, 42369616L, 91003898L, 91003901L, 91003902L]"
